"Fname","LName","Party","District","Vote"
"Jim","Abeler","R","48B","Y"
"Susan","Allen","DFL","61B","N"
"Paul","Anderson","R","13A","Y"
"Bruce","Anderson","R","19A","N"
"Diane","Anderson","R","38A","N"
"Sarah","Anderson","R","43A","N"
"Tom","Anzelc","DFL","03A","Y"
"Joe","Atkins","DFL","39B","Y"
"King","Banaian","R","15B","N"
"Bob","Barrett","R","17B","N"
"Michael","Beard","R","35A","Y"
"Mike","Benson","R","30B","Y"
"John","Benson","DFL","43B","N"
"Kurt","Bills","R","37B","N"
"Kathy","Brynaert","DFL","23B","Y"
"Mark","Buesgens","R","35B","N"
"Lyndon","Carlson Sr.","DFL","45B","N"
"Bobby Joe","Champion","DFL","58B","Y"
"Karen","Clark","DFL","61A","N"
"Tony","Cornish","R","24B","Y"
"Roger","Crawford","R","08B","N"
"Kurt","Daudt","R","17A","N"
"Greg","Davids","R","31B","Y"
"Jim","Davnie","DFL","62A","N"
"Matt","Dean","R","52B","N"
"Bob","Dettmer","R","52A","N"
"David","Dill","DFL","06A","Y"
"Denise","Dittrich","DFL","47A","Y"
"Connie","Doepke","R","33B","Y"
"Keith","Downey","R","41A","N"
"Steve","Drazkowski","R","28B","N"
"Kent","Eken","DFL","02A","Y"
"Sondra","Erickson","R","16A","N"
"Dan","Fabian","R","01A","Y"
"Andrew","Falk","DFL","20A","N"
"Mary","Franson","R","11B","N"
"Patti","Fritz","DFL","26B","Y"
"Pat","Garofalo","R","36B","Y"
"Kerry","Gauthier","DFL","07B","Y"
"Steve","Gottwalt","R","15A","Y"
"Marion","Greene","DFL","60A","N"
"Mindy","Greiling","DFL","54A","N"
"Glenn","Gruenhagen","R","25A","N"
"Bob","Gunther","R","24A","Y"
"Tom","Hackbarth","R","48A","N"
"Rod","Hamilton","R","22B","Y"
"David","Hancock","R","02B","N"
"Rick","Hansen","DFL","39A","N"
"Alice","Hausman","DFL","66B","N"
"Debra","Hilstrom","DFL","46B","Y"
"Bill","Hilty","DFL","08A","Y"
"Mary Liz","Holberg","R","36A","N"
"Joe","Hoppe","R","34B","Y"
"Frank","Hornstein","DFL","60B","N"
"Melissa","Hortman","DFL","47B","Y"
"Larry","Hosch","DFL","14B","Y"
"Larry","Howes","R","04B","Y"
"Thomas","Huntley","DFL","07A","Y"
"Sheldon","Johnson","DFL","67B","Y"
"Phyllis","Kahn","DFL","59B","N"
"Kory","Kath","DFL","26A","Y"
"Tim","Kelly","R","28A","Y"
"Andrea","Kieffer","R","56B","N"
"Debra","Kiel","R","01B","Y"
"Mary","Kiffmeyer","R","16B","N"
"Kate","Knuth","DFL","50B","Y"
"John","Kriesel","R","57A","Y"
"Carolyn","Laine","DFL","50A","N"
"Morrie","Lanning","R","09A","Y"
"Ernie","Leidiger","R","34A","N"
"Mike","LeMieur","R","12B","Y"
"Ann","Lenczewski","DFL","40B","N"
"John","Lesch","DFL","66A","Y"
"Tina","Liebling","DFL","30A","N"
"Leon","Lillie","DFL","55A","Y"
"Diane","Loeffler","DFL","59A","N"
"Kathy","Lohmer","R","56A","N"
"Jenifer","Loon","R","42B","N"
"Tara","Mack","R","37A","N"
"Tim","Mahoney","DFL","67A","Y"
"Carlos","Mariani","DFL","65B","Y"
"Paul","Marquart","DFL","09B","Y"
"Pat","Mazorol","R","41B","N"
"Joe","McDonald","R","19B","N"
"Carolyn","McElfatrick","R","03B","N"
"Carol","McFarlane","R","53B","Y"
"Denny","McNamara","R","57B","Y"
"Carly","Melin","DFL","05B","Y"
"Rena","Moran","DFL","65A","Y"
"Terry","Morrow","DFL","23A","Y"
"Joe","Mullery","DFL","58A","N"
"Mark","Murdock","R","10B","O"
"Mary","Murphy","DFL","06B","Y"
"Erin","Murphy","DFL","64A","N"
"Rich","Murray","R","27A","Y"
"Pam","Myhra","R","40A","N"
"Michael V.","Nelson","DFL","46A","Y"
"Bud","Nornes","R","10A","Y"
"Kim","Norton","DFL","29B","Y"
"Tim","O'Driscoll","R","14A","Y"
"Michael","Paymar","DFL","64B","N"
"Gene","Pelowski Jr.","DFL","31A","Y"
"Joyce","Peppin","R","32A","N"
"John","Persell","DFL","04A","Y"
"Branden","Petersen","R","49B","N"
"Sandra","Peterson","DFL","45A","O"
"Jeanne","Poppe","DFL","27B","Y"
"Duane","Quam","R","29A","N"
"Tom","Rukavina","DFL","05A","Y"
"Linda","Runbeck","R","53A","N"
"Tim","Sanders","R","51A","Y"
"Bev","Scalze","DFL","54B","N"
"Joe","Schomacker","R","22A","Y"
"Peggy","Scott","R","49A","N"
"Ron","Shimanski","R","18A","Y"
"Steve","Simon","DFL","44A","Y"
"Nora","Slawik","DFL","55B","Y"
"Linda","Slocum","DFL","63B","Y"
"Steve","Smith","R","33A","Y"
"Kirk","Stensrud","R","42A","N"
"Chris","Swedzinski","R","21A","Y"
"Paul","Thissen","DFL","63A","Y"
"Tom","Tillberry","DFL","51B","Y"
"Paul","Torkelson","R","21B","Y"
"Dean","Urdahl","R","18B","Y"
"Bruce","Vogel","R","13B","Y"
"Jean","Wagenius","DFL","62B","N"
"John","Ward","DFL","12A","Y"
"Doug","Wardlow","R","38B","N"
"Torrey","Westrom","R","11A","Y"
"Ryan","Winkler","DFL","44B","Y"
"Kelby","Woodard","R","25B","Y"
"Kurt","Zellers","R","32B","N"
